covered_sa_frac,covered_state_frac,distance_mse,env,gamma,goal_reach_frac,height,long_horizon_mse,matched_sweeps,mean_length,median_steps,method,n_trajectories,optimal_start_action,optimal_start_value,overestimate_mean,p_success,path_length,portal_action,portal_action_rate,portal_overestimate_ratio,pred_start_portal,pred_start_safe,regret,safe_action,safe_action_rate,seed,stage,start_action,start_value,success_rate,triangle_violation_rate,true_start_portal,true_start_safe,underestimate_mean,value_mse,width
0.509090909090909,1.0,1310468.0050398766,grid_shortcut_8x4_p0.05,0.98,0.5366666666666666,4,0.401358685344319,6,16.548333333333332,1.0,mc_positive,600.0,1,0.5345746329947881,0.0002124881516587738,0.05,31,4,1.0,20.000000000000007,0.9800000000000003,0.5316637053994785,0.48557463299478815,1,0.0,0,grid_shortcut,4.0,0.049,0.06,nan,0.049,0.5345746329947881,0.5651925976319765,0.4568815614728651,8
0.509090909090909,1.0,1310468.8731794877,grid_shortcut_8x4_p0.05,0.98,0.5366666666666666,4,0.4016405126722319,6,16.548333333333332,1.0,trl_raw_realized,600.0,1,0.5345746329947881,0.001358997704965346,0.05,31,4,1.0,20.0,0.98,0.944487456971819,0.48557463299478815,1,0.0,0,grid_shortcut,4.0,0.049,0.06,nan,0.049,0.5345746329947881,0.56536002936966,0.45706835848711674,8
0.509090909090909,1.0,1486025.3372379611,grid_shortcut_8x4_p0.05,0.98,0.5366666666666666,4,0.4579707813064288,6,16.548333333333332,1.0,trl_log_realized,600.0,1,0.5345746329947881,0.00029349165226645406,0.05,31,4,1.0,20.0,0.98,0.5884728332672369,0.48557463299478815,1,0.0,0,grid_shortcut,4.0,0.049,0.06,nan,0.049,0.5345746329947881,0.6495698617850224,0.5219326979484707,8
0.509090909090909,1.0,1429462.0251185375,grid_shortcut_8x4_p0.05,0.98,0.5366666666666666,4,0.5349592468102495,6,16.548333333333332,1.0,bellman_6_sweeps,600.0,1,0.5345746329947881,0.0003616245153094445,0.05,31,4,1.0,0.9589041095890409,0.04698630136986301,0.04512564383561644,0.48557463299478815,1,0.0,0,grid_shortcut,4.0,0.049,0.06,nan,0.049,0.5345746329947881,0.5966552338947667,0.46450460641199764,8
0.509090909090909,1.0,860399.7367357013,grid_shortcut_8x4_p0.05,0.98,0.5366666666666666,4,0.26944386130236947,6,16.548333333333332,31.0,sto_trl_6_sweeps,600.0,1,0.5345746329947881,0.0008925592483865865,0.05,31,4,0.0,0.9589041095890409,0.04698630136986301,0.534574632994788,0.0,1,1.0,0,grid_shortcut,1.0,0.5345746329947881,1.0,nan,0.049,0.5345746329947881,0.3686447771882988,0.2961456208539797,8
0.509090909090909,1.0,860399.7367357013,grid_shortcut_8x4_p0.05,0.98,0.5366666666666666,4,0.26944386130236947,6,16.548333333333332,31.0,bellman_full,600.0,1,0.5345746329947881,0.0008925592483865868,0.05,31,4,0.0,0.9589041095890409,0.04698630136986301,0.5345746329947881,0.0,1,1.0,0,grid_shortcut,1.0,0.5345746329947881,1.0,nan,0.049,0.5345746329947881,0.3686447771882988,0.2961456208539797,8
0.5292307692307693,1.0,1277869.0211087312,grid_shortcut_16x4_p0.05,0.98,0.5483333333333333,4,0.2804506706796771,7,33.76833333333333,1.0,mc_positive,600.0,1,0.2800546374766822,5.0492141453836183e-05,0.05,63,4,1.0,20.000000000000007,0.9800000000000003,0.276675931724841,0.2310546374766822,1,0.0,0,grid_shortcut,4.0,0.049,0.04666666666666667,nan,0.049,0.2800546374766822,0.46678989150448685,0.3313296585628968,16
0.5292307692307693,1.0,1277869.923973368,grid_shortcut_16x4_p0.05,0.98,0.5483333333333333,4,0.2805888971224048,7,33.76833333333333,1.0,trl_raw_realized,600.0,1,0.2800546374766822,0.000888249900934491,0.05,63,4,1.0,20.0,0.98,0.9565169868072,0.2310546374766822,1,0.0,0,grid_shortcut,4.0,0.049,0.04666666666666667,nan,0.049,0.2800546374766822,0.46663281139309043,0.3314458590044834,16
0.5292307692307693,1.0,1481198.3579296775,grid_shortcut_16x4_p0.05,0.98,0.5483333333333333,4,0.3279412619121719,7,33.76833333333333,1.0,trl_log_realized,600.0,1,0.2800546374766822,0.00012220526615116785,0.05,63,4,1.0,20.0,0.98,0.6324557633593739,0.2310546374766822,1,0.0,0,grid_shortcut,4.0,0.049,0.04666666666666667,nan,0.049,0.2800546374766822,0.5496248528859172,0.38546173866119765,16
0.5292307692307693,1.0,1566165.311015267,grid_shortcut_16x4_p0.05,0.98,0.5483333333333333,4,0.37543543040339594,7,33.76833333333333,1.0,bellman_7_sweeps,600.0,1,0.2800546374766822,0.00020392799587338773,0.05,63,4,1.0,1.048951048951049,0.0513986013986014,0.04936321678321678,0.2310546374766822,1,0.0,0,grid_shortcut,4.0,0.049,0.04666666666666667,nan,0.049,0.2800546374766822,0.5455595132900031,0.3673556562353958,16
0.5292307692307693,1.0,870296.8201479285,grid_shortcut_16x4_p0.05,0.98,0.5483333333333333,4,0.194612475288287,7,33.76833333333333,63.0,sto_trl_7_sweeps,600.0,1,0.2800546374766822,0.0007133270635214213,0.05,63,4,0.0,1.048951048951049,0.0513986013986014,0.28005463747668213,0.0,1,1.0,0,grid_shortcut,1.0,0.2800546374766822,1.0,nan,0.049,0.2800546374766822,0.3147447241077017,0.22146279357940885,16
0.5292307692307693,1.0,870296.8201479285,grid_shortcut_16x4_p0.05,0.98,0.5483333333333333,4,0.194612475288287,7,33.76833333333333,63.0,bellman_full,600.0,1,0.2800546374766822,0.000713327063521422,0.05,63,4,0.0,1.048951048951049,0.0513986013986014,0.2800546374766822,0.0,1,1.0,0,grid_shortcut,1.0,0.2800546374766822,1.0,nan,0.049,0.2800546374766822,0.3147447241077017,0.22146279357940885,16
0.5515151515151515,1.0,1253445.239343584,grid_shortcut_8x4_p0.05,0.98,0.5283333333333333,4,0.3846789813854346,6,16.421666666666667,1.0,mc_positive,600.0,1,0.5345746329947881,0.00020300552922591586,0.05,31,4,1.0,20.000000000000007,0.9800000000000003,0.5311860082069747,0.48557463299478815,1,0.0,1,grid_shortcut,4.0,0.049,0.043333333333333335,nan,0.049,0.5345746329947881,0.5404368827001025,0.43653820105255503,8
0.5515151515151515,1.0,1253446.3068349927,grid_shortcut_8x4_p0.05,0.98,0.5283333333333333,4,0.38502591528178665,6,16.421666666666667,1.0,trl_raw_realized,600.0,1,0.5345746329947881,0.0017906103664347105,0.05,31,4,1.0,20.0,0.98,0.9517297724366431,0.48557463299478815,1,0.0,1,grid_shortcut,4.0,0.049,0.043333333333333335,nan,0.049,0.5345746329947881,0.540629068528678,0.4367687701588567,8
0.5515151515151515,1.0,1482013.8507141825,grid_shortcut_8x4_p0.05,0.98,0.5283333333333333,4,0.45870886286118,6,16.421666666666667,1.0,trl_log_realized,600.0,1,0.5345746329947881,0.00040802236181915473,0.05,31,4,1.0,20.0,0.98,0.7225419398325121,0.48557463299478815,1,0.0,1,grid_shortcut,4.0,0.049,0.043333333333333335,nan,0.049,0.5345746329947881,0.6482319521755074,0.5194880810875037,8
0.5515151515151515,1.0,1405536.6493983762,grid_shortcut_8x4_p0.05,0.98,0.5283333333333333,4,0.5358773124884803,6,16.421666666666667,1.0,bellman_6_sweeps,600.0,1,0.5345746329947881,0.0002614693928040446,0.05,31,4,1.0,0.8135593220338982,0.039864406779661014,0.038285776271186435,0.48557463299478815,1,0.0,1,grid_shortcut,4.0,0.049,0.043333333333333335,nan,0.049,0.5345746329947881,0.5844228581763562,0.45283659272154553,8
0.5515151515151515,1.0,835010.8143849032,grid_shortcut_8x4_p0.05,0.98,0.5283333333333333,4,0.2694396850991805,6,16.421666666666667,31.0,sto_trl_6_sweeps,600.0,1,0.5345746329947881,0.0006312028183270076,0.05,31,4,0.0,0.8135593220338982,0.039864406779661014,0.534574632994788,0.0,1,1.0,1,grid_shortcut,1.0,0.5345746329947881,1.0,nan,0.049,0.5345746329947881,0.35572947702530316,0.283892828592983,8
0.5515151515151515,1.0,835010.8143849032,grid_shortcut_8x4_p0.05,0.98,0.5283333333333333,4,0.2694396850991805,6,16.421666666666667,31.0,bellman_full,600.0,1,0.5345746329947881,0.000631202818327008,0.05,31,4,0.0,0.8135593220338982,0.039864406779661014,0.5345746329947881,0.0,1,1.0,1,grid_shortcut,1.0,0.5345746329947881,1.0,nan,0.049,0.5345746329947881,0.35572947702530316,0.283892828592983,8
0.5107692307692308,1.0,1308833.6790498965,grid_shortcut_16x4_p0.05,0.98,0.5233333333333333,4,0.28851032809690563,7,32.278333333333336,1.0,mc_positive,600.0,1,0.2800546374766822,5.2850687622794185e-05,0.05,63,4,1.0,20.000000000000007,0.9800000000000003,0.2770449374209592,0.2310546374766822,1,0.0,1,grid_shortcut,4.0,0.049,0.05,nan,0.049,0.2800546374766822,0.47845914316371485,0.3398273067962176,16
0.5107692307692308,1.0,1308833.8738194471,grid_shortcut_16x4_p0.05,0.98,0.5233333333333333,4,0.2885416894078372,7,32.278333333333336,1.0,trl_raw_realized,600.0,1,0.2800546374766822,0.0006451317731507298,0.05,63,4,1.0,20.0,0.98,0.28005463747668224,0.2310546374766822,1,0.0,1,grid_shortcut,4.0,0.049,0.05,nan,0.049,0.2800546374766822,0.4783166641970823,0.3398556834244956,16
0.5107692307692308,1.0,1503118.7669638055,grid_shortcut_16x4_p0.05,0.98,0.5233333333333333,4,0.3346328830149134,7,32.278333333333336,1.0,trl_log_realized,600.0,1,0.2800546374766822,8.117277325577166e-05,0.05,63,4,1.0,20.0,0.98,0.2800546374766822,0.2310546374766822,1,0.0,1,grid_shortcut,4.0,0.049,0.05,nan,0.049,0.2800546374766822,0.5589530019839876,0.39265167105942245,16
0.5107692307692308,1.0,1570890.8492921407,grid_shortcut_16x4_p0.05,0.98,0.5233333333333333,4,0.37514759399836156,7,32.278333333333336,1.0,bellman_7_sweeps,600.0,1,0.2800546374766822,0.00024970758119314694,0.05,63,4,1.0,0.9333333333333333,0.045733333333333334,0.0,0.2310546374766822,1,0.0,1,grid_shortcut,4.0,0.049,0.05,nan,0.049,0.2800546374766822,0.5478127461018941,0.3695335169547414,16
0.5107692307692308,1.0,875240.798421919,grid_shortcut_16x4_p0.05,0.98,0.5233333333333333,4,0.1946137163573884,7,32.278333333333336,63.0,sto_trl_7_sweeps,600.0,1,0.2800546374766822,0.0008145497375595945,0.05,63,4,0.0,0.9333333333333333,0.045733333333333334,0.28005463747668213,0.0,1,1.0,1,grid_shortcut,1.0,0.2800546374766822,1.0,nan,0.049,0.2800546374766822,0.31727161875408666,0.22387388984235113,16
0.5107692307692308,1.0,875240.798421919,grid_shortcut_16x4_p0.05,0.98,0.5233333333333333,4,0.1946137163573884,7,32.278333333333336,63.0,bellman_full,600.0,1,0.2800546374766822,0.0008145497375595951,0.05,63,4,0.0,0.9333333333333333,0.045733333333333334,0.2800546374766822,0.0,1,1.0,1,grid_shortcut,1.0,0.2800546374766822,1.0,nan,0.049,0.2800546374766822,0.31727161875408666,0.22387388984235113,16
0.5454545454545454,1.0,1267655.3585022544,grid_shortcut_8x4_p0.05,0.98,0.5216666666666666,4,0.38838685294541475,6,16.231666666666666,1.0,mc_positive,600.0,1,0.5345746329947881,0.00028920554100812405,0.05,31,4,1.0,20.000000000000007,0.9800000000000003,0.5308571389664585,0.48557463299478815,1,0.0,2,grid_shortcut,4.0,0.049,0.05,nan,0.049,0.5345746329947881,0.547056733911837,0.4420252108539068,8
0.5454545454545454,1.0,1267656.2047029838,grid_shortcut_8x4_p0.05,0.98,0.5216666666666666,4,0.38865917902612535,6,16.231666666666666,1.0,trl_raw_realized,600.0,1,0.5345746329947881,0.001719574322584446,0.05,31,4,1.0,20.0,0.98,0.9424285072573254,0.48557463299478815,1,0.0,2,grid_shortcut,4.0,0.049,0.05,nan,0.049,0.5345746329947881,0.5469111873116987,0.4422070724962927,8
0.5454545454545454,1.0,1452506.9353603364,grid_shortcut_8x4_p0.05,0.98,0.5216666666666666,4,0.44936424329602986,6,16.231666666666666,1.0,trl_log_realized,600.0,1,0.5345746329947881,0.00038087605340883865,0.05,31,4,1.0,20.0,0.98,0.6324201857329667,0.48557463299478815,1,0.0,2,grid_shortcut,4.0,0.049,0.05,nan,0.049,0.5345746329947881,0.636361587488212,0.509193429626404,8
0.5454545454545454,1.0,1412557.3776524165,grid_shortcut_8x4_p0.05,0.98,0.5216666666666666,4,0.5354279447638294,6,16.231666666666666,1.0,bellman_6_sweeps,600.0,1,0.5345746329947881,0.0003313501932063108,0.05,31,4,1.0,0.802675585284281,0.039331103678929766,0.03777359197324415,0.48557463299478815,1,0.0,2,grid_shortcut,4.0,0.049,0.05,nan,0.049,0.5345746329947881,0.5881808996788498,0.4565816687874223,8
0.5454545454545454,1.0,842761.4258676326,grid_shortcut_8x4_p0.05,0.98,0.5216666666666666,4,0.2694402885086389,6,16.231666666666666,31.0,sto_trl_6_sweeps,600.0,1,0.5345746329947881,0.0007168262879510336,0.05,31,4,0.0,0.802675585284281,0.039331103678929766,0.534574632994788,0.0,1,1.0,2,grid_shortcut,1.0,0.5345746329947881,1.0,nan,0.049,0.5345746329947881,0.35982270548668643,0.28792322403319304,8
0.5454545454545454,1.0,842761.4258676326,grid_shortcut_8x4_p0.05,0.98,0.5216666666666666,4,0.2694402885086389,6,16.231666666666666,31.0,bellman_full,600.0,1,0.5345746329947881,0.0007168262879510339,0.05,31,4,0.0,0.802675585284281,0.039331103678929766,0.5345746329947881,0.0,1,1.0,2,grid_shortcut,1.0,0.5345746329947881,1.0,nan,0.049,0.5345746329947881,0.35982270548668643,0.28792322403319304,8
0.5476923076923077,1.0,1274801.636993742,grid_shortcut_16x4_p0.05,0.98,0.5,4,0.2797449711341304,7,30.983333333333334,1.0,mc_positive,600.0,1,0.2800546374766822,8.654157442401546e-05,0.05,63,4,1.0,20.000000000000007,0.9800000000000003,0.2764512205468224,0.2310546374766822,1,0.0,2,grid_shortcut,4.0,0.049,0.056666666666666664,nan,0.049,0.2800546374766822,0.46499237748154393,0.3296815299503091,16
0.5476923076923077,1.0,1274801.8488240072,grid_shortcut_16x4_p0.05,0.98,0.5,4,0.27977973552910534,7,30.983333333333334,1.0,trl_raw_realized,600.0,1,0.2800546374766822,0.0009590703810770159,0.05,63,4,1.0,20.0,0.98,0.28005463747668224,0.2310546374766822,1,0.0,2,grid_shortcut,4.0,0.049,0.056666666666666664,nan,0.049,0.2800546374766822,0.46477323012609234,0.3297150207737033,16
0.5476923076923077,1.0,1509689.3478292916,grid_shortcut_16x4_p0.05,0.98,0.5,4,0.33510900690731854,7,30.983333333333334,1.0,trl_log_realized,600.0,1,0.2800546374766822,0.00016017031486033437,0.05,63,4,1.0,20.0,0.98,0.2800546374766822,0.2310546374766822,1,0.0,2,grid_shortcut,4.0,0.049,0.056666666666666664,nan,0.049,0.2800546374766822,0.5589543143687086,0.3931594684791498,16
0.5476923076923077,1.0,1564009.0205586455,grid_shortcut_16x4_p0.05,0.98,0.5,4,0.3756976456590938,7,30.983333333333334,1.0,bellman_7_sweeps,600.0,1,0.2800546374766822,0.0001663690216114329,0.05,63,4,1.0,0.8306709265175719,0.04070287539936102,0.0,0.2310546374766822,1,0.0,2,grid_shortcut,4.0,0.049,0.056666666666666664,nan,0.049,0.2800546374766822,0.5442001139456764,0.36599982796938624,16
0.5476923076923077,1.0,867180.0936359129,grid_shortcut_16x4_p0.05,0.98,0.5,4,0.19461059330522237,7,30.983333333333334,63.0,sto_trl_7_sweeps,600.0,1,0.2800546374766822,0.0005739674508043371,0.05,63,4,0.0,0.8306709265175719,0.04070287539936102,0.28005463747668213,0.0,1,1.0,2,grid_shortcut,1.0,0.2800546374766822,1.0,nan,0.049,0.2800546374766822,0.31312590651663036,0.21989388450096553,16
0.5476923076923077,1.0,867180.0936359129,grid_shortcut_16x4_p0.05,0.98,0.5,4,0.19461059330522237,7,30.983333333333334,63.0,bellman_full,600.0,1,0.2800546374766822,0.0005739674508043376,0.05,63,4,0.0,0.8306709265175719,0.04070287539936102,0.2800546374766822,0.0,1,1.0,2,grid_shortcut,1.0,0.2800546374766822,1.0,nan,0.049,0.2800546374766822,0.3131259065166303,0.21989388450096553,16
