covered_sa_frac,covered_state_frac,decision_correct,distance_mse,env,expected_length,family,final_loss,gamma,goal_reach_frac,long_horizon_mse,matched_sweeps,mean_length,method,n_trajectories,operator_iters,optimal_start_action,optimal_start_value,overestimate_mean,p_success,pred_start_risky,pred_start_safe,regret,risky_action,risky_overestimate_ratio,safe_length,seed,start_action,start_value,success_rate,train_seconds,transition_source,triangle_violation_rate,true_start_risky,true_start_safe,underestimate_mean,value_mse
0.8947368421052632,1.0,0.0,11064379.726034965,risky_L16_p0.05,60.90000000000007,table,0.0,0.995,0.51625,0.8240992337607488,5,8.91125,table_bellman_matched,800.0,,0,0.9229311239742362,3.7457273635558694e-05,0.05,0.05325317848410758,0.0,0.8734298739742361,1.0,1.0757946210268947,16,0,1.0,0.049501250000000004,0.05,0.0,estimated,0.015,0.049501250000000004,0.9229311239742362,0.34764537159405756,0.33068804934612217
0.8947368421052632,1.0,1.0,2.123689441146447,risky_L16_p0.05,16.0,table,0.0,0.995,0.51625,1.0864803738041434e-06,5,8.91125,table_sto_trl_matched,800.0,,0,0.9229311239742362,3.7457273635642056e-05,0.05,0.05325317848410758,0.9229311239742366,0.0,0.0,1.0757946210268947,16,0,0.0,0.9229311239742362,1.0,0.0,estimated,0.0,0.049501250000000004,0.9229311239742362,3.745727363555761e-05,2.8154640915854877e-07
0.8947368421052632,1.0,0.0,12267921.72714236,risky_L16_p0.05,60.90000000000007,table,0.0,0.995,0.51625,0.4462803969880241,5,8.91125,table_support_trl,800.0,,0,0.9229311239742362,0.006594767441860507,0.05,0.990025,0.9229311239742366,0.8734298739742361,1.0,20.0,16,0,1.0,0.049501250000000004,0.05,0.0,estimated,0.0,0.049501250000000004,0.9229311239742362,0.38892181230475065,0.3820139266560759
0.8947368421052632,1.0,1.0,2.123689441146447,risky_L16_p0.05,16.0,table,0.0,0.995,0.51625,1.0864803738041434e-06,5,8.91125,table_full_bellman,800.0,,0,0.9229311239742362,3.7457273635558694e-05,0.05,0.05325317848410758,0.9229311239742362,0.0,0.0,1.0757946210268947,16,0,0.0,0.9229311239742362,1.0,0.0,estimated,0.0,0.049501250000000004,0.9229311239742362,3.745727363555761e-05,2.8154640915854877e-07
0.8947368421052632,1.0,1.0,254497.383628866,risky_L16_p0.05,64.0,neural,0.0004451206768862903,0.995,0.51625,0.7929413281105446,5,8.91125,neural_bellman_td,800.0,5,0,0.9229311239742362,0.0016353431870705574,0.05,0.004889582749456167,0.024598324671387672,0.9229311239742362,0.0,0.09877695511640952,16,0,0.0,0.0,0.0,0.5796501979930326,estimated,0.115,0.049501250000000004,0.9229311239742362,0.373119933209618,0.32338314068321466
0.8947368421052632,1.0,1.0,1372.8695333025403,risky_L16_p0.05,64.0,neural,0.0006045385380275548,0.995,0.51625,0.005427578269347974,5,8.91125,neural_sto_trl,800.0,5,0,0.9229311239742362,0.011592461497416972,0.05,0.5822010040283203,0.8104184865951538,0.9229311239742362,0.0,11.761339441495322,16,0,0.0,0.0,0.0,0.32496016699587926,estimated,0.105,0.049501250000000004,0.9229311239742362,0.005282714217984459,0.0016314878720952216
0.8947368421052632,1.0,0.0,40271.33757607473,risky_L16_p0.05,60.90000000000007,neural,0.0006037912680767477,0.995,0.51625,0.2664558912204635,5,8.91125,neural_support_trl,800.0,5,0,0.9229311239742362,0.0069975092790312,0.05,0.9133733510971069,0.7598214149475098,0.8734298739742361,1.0,18.451520943352076,16,0,1.0,0.049501250000000004,0.05,0.3287451829528436,estimated,0.075,0.049501250000000004,0.9229311239742362,0.30847995455355776,0.2187420009363769
0.8947368421052632,1.0,0.0,11064378.663031498,risky_L16_p0.20,51.59999999999995,table,0.0,0.995,0.59625,0.8241061246014132,5,8.91125,table_bellman_matched,800.0,,0,0.9229311239742362,0.00010149712856086862,0.2,0.20817151589242053,0.0,0.7249261239742362,1.0,1.0513447432762835,16,0,1.0,0.19800500000000001,0.2,0.0,estimated,0.015,0.19800500000000001,0.9229311239742362,0.3477094114489829,0.3306898350124737
0.8947368421052632,1.0,1.0,1.0606859749261235,risky_L16_p0.20,16.0,table,0.0,0.995,0.59625,7.977321038046074e-06,5,8.91125,table_sto_trl_matched,800.0,,0,0.9229311239742362,0.00010149712856095197,0.2,0.20817151589242053,0.9229311239742366,0.0,0.0,1.0513447432762835,16,0,0.0,0.9229311239742362,1.0,0.0,estimated,0.0,0.19800500000000001,0.9229311239742362,0.00010149712856086908,2.0672127606896805e-06
0.8947368421052632,1.0,0.0,12274278.822997002,risky_L16_p0.20,51.59999999999995,table,0.0,0.995,0.59625,0.43776984698441834,5,8.91125,table_support_trl,800.0,,0,0.9229311239742362,0.006594767441860507,0.2,0.990025,0.9229311239742366,0.7249261239742362,1.0,5.0,16,0,1.0,0.19800500000000001,0.2,0.0,estimated,0.0,0.19800500000000001,0.9229311239742362,0.38892181230475065,0.3798085349607894
0.8947368421052632,1.0,1.0,1.0606859749261235,risky_L16_p0.20,16.0,table,0.0,0.995,0.59625,7.977321038046074e-06,5,8.91125,table_full_bellman,800.0,,0,0.9229311239742362,0.00010149712856086862,0.2,0.20817151589242053,0.9229311239742362,0.0,0.0,1.0513447432762835,16,0,0.0,0.9229311239742362,1.0,0.0,estimated,0.0,0.19800500000000001,0.9229311239742362,0.00010149712856086908,2.0672127606896805e-06
0.8947368421052632,1.0,1.0,277755.49420717265,risky_L16_p0.20,64.0,neural,0.0005436482024379075,0.995,0.59625,0.7981561181954846,5,8.91125,neural_bellman_td,800.0,5,0,0.9229311239742362,0.0015873458719515602,0.2,0.014023939147591591,0.0464976541697979,0.9229311239742362,0.0,0.07082618695281225,16,0,0.0,0.0,0.0,0.37478688498958945,estimated,0.11,0.19800500000000001,0.9229311239742362,0.38110019955353364,0.33258339298872946
0.8947368421052632,1.0,1.0,211.28164277533864,risky_L16_p0.20,64.0,neural,0.0005168979987502098,0.995,0.59625,0.004159613462285768,5,8.91125,neural_sto_trl,800.0,5,0,0.9229311239742362,0.010490388825490783,0.2,0.578751266002655,0.7399801015853882,0.9229311239742362,0.0,2.9229123810138886,16,0,0.0,0.0,0.0,0.34180236503016204,estimated,0.07,0.19800500000000001,0.9229311239742362,0.0058257575144551625,0.0012919648907781846
0.8947368421052632,1.0,0.0,38396.72415719724,risky_L16_p0.20,51.59999999999995,neural,0.0006037912680767477,0.995,0.59625,0.2579065754761852,5,8.91125,neural_support_trl,800.0,5,0,0.9229311239742362,0.006448360722755974,0.2,0.9133733510971069,0.7598214149475098,0.7249261239742362,1.0,4.612880235838019,16,0,1.0,0.19800500000000001,0.2,0.34865833999356255,estimated,0.075,0.19800500000000001,0.9229311239742362,0.3079308059972825,0.21652656363387285
