action_agreement_to_full,action_agreement_to_target,buffered_final_steps,distill_steps,env,episodes_per_task,eval_mode,eval_seconds,family,feature_mode,final_loss,full_iters,gamma,iters,max_episode_steps,method,model_max_steps,model_rollout_mode,n_actions,n_states,operator_iters,overall_success,rank_ce_weight,seed,steps_per_iter,target_buffer_monotone,target_buffer_reset_final,target_buffer_waypoint_mode,target_buffer_waypoints,task1_length,task1_success,task2_length,task2_success,task3_length,task3_success,task4_length,task4_success,task5_length,task5_success,task_ids,train_seconds,transition_l1,transition_model,transition_oracle_l1,transition_oracle_top1,transition_seed,transition_steps,transition_target_source,transition_top1,value_hidden_dims,value_max_abs_to_full,value_max_abs_to_target,value_mse_to_full,value_mse_to_target,value_seed,warmup_steps
0.9651515151515152,0.9767676767676767,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.2311016909661703,qhead,raw_obs_onehot,0.005389780271798372,180,0.995,6,,qhead_sto_trl_buffered_topk_reset_final,,,4,45,6,0.9800000000000001,1.0,0,350,True,True,topk_bridge,4,401.3,0.9,246.8,1.0,235.2,1.0,406.5,1.0,425.9,1.0,all,31.231393059017137,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",1.0,1.0,0.014539654792610834,0.013837236226441188,0,600
0.9661616161616161,0.9777777777777777,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.222325426992029,qhead,raw_obs_onehot,0.0053100199438631535,180,0.995,6,,qhead_sto_trl_target_fit,,,4,45,6,0.9800000000000001,1.0,0,350,,,,,401.3,0.9,246.8,1.0,235.2,1.0,406.5,1.0,425.9,1.0,all,11.274354614957701,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",1.0,1.0,0.014451684984115604,0.013775163405748993,0,600
0.9883838383838384,1.0,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.2101888080360368,table,raw_obs_onehot,0.0,180,0.995,6,,table_sto_trl_matched,,,4,45,0,0.9800000000000001,1.0,0,350,,,,,401.3,0.9,246.8,1.0,235.2,1.0,406.5,1.0,425.9,1.0,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.2726478374829411,0.0,0.001317458230128957,0.0,0,600
1.0,1.0,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.2226183050079271,table,raw_obs_onehot,0.0,180,0.995,180,,table_full_bellman,,,4,45,0,0.9800000000000001,1.0,0,350,,,,,419.3,0.9,246.8,1.0,235.2,1.0,406.5,1.0,425.9,1.0,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.0,0.0,0.0,0.0,0,600
0.9651515151515152,0.9767676767676767,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.4244730139616877,qhead,raw_obs_onehot,0.005389780271798372,180,0.995,6,,qhead_sto_trl_buffered_topk_reset_final,,,4,45,6,0.8800000000000001,1.0,1,350,True,True,topk_bridge,4,401.9,0.9,322.4,0.9,387.9,0.8,524.5,0.8,427.7,1.0,all,31.231393059017137,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",1.0,1.0,0.014539654792610834,0.013837236226441188,0,600
0.9661616161616161,0.9777777777777777,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.4111052619991824,qhead,raw_obs_onehot,0.0053100199438631535,180,0.995,6,,qhead_sto_trl_target_fit,,,4,45,6,0.8800000000000001,1.0,1,350,,,,,401.9,0.9,322.4,0.9,387.9,0.8,524.5,0.8,427.7,1.0,all,11.274354614957701,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",1.0,1.0,0.014451684984115604,0.013775163405748993,0,600
0.9883838383838384,1.0,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.4162598709808663,table,raw_obs_onehot,0.0,180,0.995,6,,table_sto_trl_matched,,,4,45,0,0.8800000000000001,1.0,1,350,,,,,401.9,0.9,322.4,0.9,387.9,0.8,524.5,0.8,427.7,1.0,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.2726478374829411,0.0,0.001317458230128957,0.0,0,600
1.0,1.0,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.4276111359940842,table,raw_obs_onehot,0.0,180,0.995,180,,table_full_bellman,,,4,45,0,0.8800000000000001,1.0,1,350,,,,,419.9,0.9,322.4,0.9,387.9,0.8,524.5,0.8,427.7,1.0,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.0,0.0,0.0,0.0,0,600
0.9651515151515152,0.9767676767676767,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.2544080420047976,qhead,raw_obs_onehot,0.005389780271798372,180,0.995,6,,qhead_sto_trl_buffered_topk_reset_final,,,4,45,6,0.9400000000000001,1.0,2,350,True,True,topk_bridge,4,404.0,0.9,320.9,0.9,238.1,1.0,408.3,1.0,483.0,0.9,all,31.231393059017137,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",1.0,1.0,0.014539654792610834,0.013837236226441188,0,600
0.9661616161616161,0.9777777777777777,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.2764756030519493,qhead,raw_obs_onehot,0.0053100199438631535,180,0.995,6,,qhead_sto_trl_target_fit,,,4,45,6,0.9400000000000001,1.0,2,350,,,,,404.0,0.9,320.9,0.9,238.1,1.0,408.3,1.0,483.0,0.9,all,11.274354614957701,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",1.0,1.0,0.014451684984115604,0.013775163405748993,0,600
0.9883838383838384,1.0,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.282841506996192,table,raw_obs_onehot,0.0,180,0.995,6,,table_sto_trl_matched,,,4,45,0,0.9400000000000001,1.0,2,350,,,,,404.0,0.9,320.9,0.9,238.1,1.0,408.3,1.0,483.0,0.9,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.2726478374829411,0.0,0.001317458230128957,0.0,0,600
1.0,1.0,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.2931310569983907,table,raw_obs_onehot,0.0,180,0.995,180,,table_full_bellman,,,4,45,0,0.9400000000000001,1.0,2,350,,,,,422.0,0.9,320.9,0.9,238.1,1.0,408.3,1.0,483.0,0.9,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.0,0.0,0.0,0.0,0,600
